Q9067667	左藤章	自民	現職	27	大阪府 2区	男性	1951-07-12	310akirasato	https://facebook.com/jimusyo.satoakira		
Q7496342	佐藤茂樹	公明	現職	27	大阪府 3区	男性	1959-06-08				
Q1133360	佐藤勉	自民	現職	9	栃木県 4区	男性	1952-06-20				重複注意
Q21756077	佐藤勉	自民	現職	9	栃木県 4区	男性	1902-01-01				重複注意
	佐藤英道	公明	現職	1	北海道ブロック						
Q8060577	佐藤ゆかり	自民	現職	27	大阪府 11区	女性	1961-08-19				
Q337507	志位和夫	共産	現職		南関東ブロック	男性	1954-07-29	shiikazuo			
Q11647123	椎木保	維新	現職		近畿ブロック	男性	1966-07-04				
Q7706956	塩川鉄也	共産	現職		北関東ブロック	男性	1961-12-18				
Q360395	塩崎恭久	自民	現職	38	愛媛県 1区	男性	1950-11-07				
Q935199	塩谷立	自民	現職	22	静岡県 8区	男性	1950-02-18				
Q11644760	重徳和彦	民進	現職	23	愛知県 12区	男性	1970-12-21				
Q49875	階猛	民進	現職	3	岩手県 1区	男性	1966-01-01	shinatakeshi			
	篠原豪	民進	現職		南関東ブロック						
Q7677369	篠原孝	民進	現職	20	長野県 1区	男性	1948-01-01				
Q6782350	柴山昌彦	自民	現職	11	埼玉県 8区	男性	1965-12-05	shiba_masa	https://facebook.com/549728848437286		
Q17159494	島田佳和	自民	現職		東海ブロック	男性	1970-05-08				
Q18817650	島津幸広	共産	現職		東海ブロック	男性	1956-10-19				
Q11560960	清水忠史	共産	現職		近畿ブロック	男性	1968-05-05				
Q1761759	下地幹郎	維新	現職		九州ブロック	男性	1961-08-14				
Q1655220	下村博文	自民	現職	13	東京都 11区	男性	1954-05-23		https://facebook.com/hakubun.shimomura		
Q11580448	白須賀貴樹	自民	現職	12	千葉県 13区	男性	1975-03-16				
Q15220933	新谷正義	自民	現職		中国ブロック	男性	1975-03-08				
Q529792	新藤義孝	自民	現職	11	埼玉県 2区	男性	1958-01-20	shindo_y	https://facebook.com/100005256916522		
Q122465	菅義偉	自民	現職	14	神奈川県 2区	男性	1948-12-06	sugawitter	https://facebook.com/yoshihide.suga		
Q11619136	菅原一秀	自民	現職	13	東京都 9区	男性	1962-01-07	sugawaraisshu			
Q11399825	助田重義	自民	現職		北陸信越ブロック	男性	1960-01-10				
Q129149	鈴木克昌	民進	現職		東海ブロック	男性	1943-11-14				
Q6383909	鈴木馨祐	自民	現職	14	神奈川県 7区	男性	1977-02-09				
Q3482657	鈴木俊一	自民	現職	3	岩手県 2区	男性	1910-11-06				重複注意
Q3482658	鈴木俊一	自民	現職	3	岩手県 2区	男性	1953-04-13				重複注意
Q11649031	鈴木淳司	自民	現職		東海ブロック	男性	1958-04-07		https://facebook.com/suzuki.jyunji		
Q17160031	鈴木貴子	無所属	現職	1	北海道ブロック	女性	1986-01-05		https://facebook.com/takakosuzukidaichi		
Q11648868	鈴木憲和	自民	現職	6	山形県 2区	男性	1982-01-30				
Q3264042	鈴木隼人	自民	現職		東京ブロック	男性	1982-05-13				重複注意
Q20040828	鈴木隼人	自民	現職		東京ブロック	男性	1977-08-08				重複注意
Q11649189	鈴木義弘	希望	現職		北関東ブロック	男性	1962-11-10				
Q8056061	関芳弘	自民	現職	28	兵庫県 3区	男性	1965-06-07	sekiyoshihiro	https://facebook.com/sekiyoshihiro		
Q11566681	瀬戸隆一	自民	現職		四国ブロック	男性	1965-08-02				
Q1965622	薗浦健太郎	自民	現職	12	千葉県 5区	男性	1972-06-03				
Q457774	園田博之	自民	現職	43	熊本県 4区	男性	1942-02-19				
Q6782264	平将明	自民	現職	13	東京都 4区	男性	1967-02-21	TAIRAMASAAKI	https://facebook.com/tairamasaaki		
Q11668691	高井崇志	民進	現職		中国ブロック	男性	1969-09-26				
Q1705028	高市早苗	自民	現職	29	奈良県 2区	女性	1961-03-07				
Q472792	高木義明	民進	現職		九州ブロック	男性	1945-12-22				
Q7850389	高木毅	自民	現職	18	福井県 2区	男性	1956-01-01				
Q11670038	高木宏壽	自民	現職	1	北海道 3区	男性	1960-04-09				
Q6837950	高木美智代	公明	現職		東京ブロック	女性	1952-09-13				
Q8062685	高木陽介	公明	現職		東京ブロック	男性	1959-12-16				
